trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
5980,False,"{'a': 0.6, 'e': 0.050287436723591865}",20,14,10.250850963960886,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5981,False,"{'a': 0.6, 'e': 0.050262299290112146}",25,10,25.92868059036924,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
5982,False,"{'a': 0.6, 'e': 0.050237174422207494}",30,16,28.779584432674728,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5983,False,"{'a': 0.6, 'e': 0.05021206211359671}",25,14,8.661985835336656,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
5984,False,"{'a': 0.6, 'e': 0.050186962358001734}",35,17,-1.4780235636643164,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
5985,False,"{'a': 0.6, 'e': 0.050161875149147585}",20,14,10.297415587412676,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5986,False,"{'a': 0.6, 'e': 0.050136800480762515}",25,18,14.355462268368994,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5987,False,"{'a': 0.6, 'e': 0.0501117383465778}",25,3,37.332340622176524,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
5988,False,"{'a': 0.6, 'e': 0.05008668874032793}",25,16,17.286977333116734,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
5989,False,"{'a': 0.6, 'e': 0.05006165165575053}",20,13,12.403046710134262,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
5990,False,"{'a': 0.6, 'e': 0.05003662708658628}",25,15,22.325405937534576,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
5991,False,"{'a': 0.6, 'e': 0.05001161502657907}",25,14,16.686941659897606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
5992,False,"{'a': 0.6, 'e': 0.049986615469475894}",25,12,27.641050771680554,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
5993,False,"{'a': 0.6, 'e': 0.04996162840902682}",20,0,21.894723612960036,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
5994,False,"{'a': 0.6, 'e': 0.049936653838985136}",25,13,20.279694313478338,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5995,False,"{'a': 0.6, 'e': 0.04991169175310715}",25,18,2.3398992027647374,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
5996,False,"{'a': 0.6, 'e': 0.04988674214515236}",30,16,24.63643179887743,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5997,False,"{'a': 0.6, 'e': 0.04986180500888339}",20,3,24.701765163251363,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
5998,False,"{'a': 0.6, 'e': 0.0498368803380659}",20,14,11.665581530121301,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
5999,False,"{'a': 0.6, 'e': 0.049811968126468764}",20,14,0.6254117027107335,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
6000,False,"{'a': 0.6, 'e': 0.049787068367863944}",25,15,17.94503378915152,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6001,False,"{'a': 0.6, 'e': 0.04976218105602645}",20,0,25.77274091565151,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6002,False,"{'a': 0.6, 'e': 0.0497373061847345}",25,1,38.31583776626435,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
6003,False,"{'a': 0.6, 'e': 0.04971244374776933}",25,0,34.06978730360436,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6004,False,"{'a': 0.6, 'e': 0.04968759373891536}",25,13,8.991541231632166,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
6005,False,"{'a': 0.6, 'e': 0.04966275615196011}",20,4,20.127315436834646,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
6006,False,"{'a': 0.6, 'e': 0.04963793098069413}",35,20,14.826392864796844,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
6007,False,"{'a': 0.6, 'e': 0.049613118218911144}",25,16,14.377735335914169,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6008,False,"{'a': 0.6, 'e': 0.049588317860408}",35,22,23.967823657018887,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
